序號,統一編號,狀態,類別,查詢時間
v000001,00036876,疑似統編錯誤,異常,2025-12-04 09:28:48
v000002,00082189,疑似統編錯誤,異常,2025-12-04 09:39:36
v000003,00142686,疑似統編錯誤,異常,2025-12-04 09:44:53
v000004,00344091,疑似統編錯誤,異常,2025-12-04 09:50:08
v000005,00574712,疑似統編錯誤,異常,2025-12-04 09:55:24
v000006,04130976,疑似統編錯誤,異常,2025-12-04 10:00:43
v000007,26278212,疑似統編錯誤,異常,2025-12-04 10:05:55
v000008,31902686,疑似統編錯誤,異常,2025-12-04 10:11:27
v000009,42301339,疑似統編錯誤,異常,2025-12-04 10:16:42
v000010,42906225,疑似統編錯誤,異常,2025-12-04 10:21:53
v000011,44522415,疑似統編錯誤,異常,2025-12-04 10:27:08
v000012,44962166,疑似統編錯誤,異常,2025-12-04 10:32:24
v000013,45005000,疑似統編錯誤,異常,2025-12-04 10:37:36
v000014,45074104,疑似統編錯誤,異常,2025-12-04 10:42:55
v000015,60714202,疑似統編錯誤,異常,2025-12-04 10:48:09
v000016,60825811,疑似統編錯誤,異常,2025-12-04 10:53:32
v000017,83455174,疑似統編錯誤,異常,2025-12-04 10:58:47
v000018,85370215,疑似統編錯誤,異常,2025-12-04 11:03:58
v000019,86167653,疑似統編錯誤,異常,2025-12-04 11:09:05
v000020,86167751,疑似統編錯誤,異常,2025-12-04 11:14:19
v000021,86168034,疑似統編錯誤,異常,2025-12-04 11:19:38
v000022,86168105,疑似統編錯誤,異常,2025-12-04 11:24:57
v000023,86168739,疑似統編錯誤,異常,2025-12-04 11:30:12
v000024,86168750,疑似統編錯誤,異常,2025-12-04 11:35:34
v000025,86168787,疑似統編錯誤,異常,2025-12-04 11:40:45
v000026,86168822,疑似統編錯誤,異常,2025-12-04 11:46:01
v000027,86169028,疑似統編錯誤,異常,2025-12-04 11:51:17
v000028,86169126,疑似統編錯誤,異常,2025-12-04 11:56:25
v000029,86169195,疑似統編錯誤,異常,2025-12-04 12:01:39
v000030,86169272,疑似統編錯誤,異常,2025-12-04 12:06:59
v000031,86169462,疑似統編錯誤,異常,2025-12-04 12:12:09
v000032,86169505,疑似統編錯誤,異常,2025-12-04 12:17:31
v000033,86169879,疑似統編錯誤,異常,2025-12-04 12:22:43
v000034,86169913,疑似統編錯誤,異常,2025-12-04 12:27:59
v000035,86170411,疑似統編錯誤,異常,2025-12-04 12:33:13
v000036,86170566,疑似統編錯誤,異常,2025-12-04 12:38:28
v000037,86170587,疑似統編錯誤,異常,2025-12-04 12:43:44
v000038,86170708,疑似統編錯誤,異常,2025-12-04 12:48:54
v000039,86170714,疑似統編錯誤,異常,2025-12-04 12:54:10
v000040,86171122,疑似統編錯誤,異常,2025-12-04 12:59:26
v000041,86172261,疑似統編錯誤,異常,2025-12-04 13:04:39
v000042,86172311,疑似統編錯誤,異常,2025-12-04 13:09:54
v000043,86173304,疑似統編錯誤,異常,2025-12-04 13:15:06
v000044,86175112,疑似統編錯誤,異常,2025-12-04 13:20:23
v000045,86175128,疑似統編錯誤,異常,2025-12-04 13:25:39
v000046,86175318,疑似統編錯誤,異常,2025-12-04 13:30:51
v000047,86175464,疑似統編錯誤,異常,2025-12-04 13:36:10
v000048,86175773,疑似統編錯誤,異常,2025-12-04 13:41:27
v000049,88182785,疑似統編錯誤,異常,2025-12-04 13:46:45
v000050,88568958,疑似統編錯誤,異常,2025-12-04 13:51:56
v000051,91875537,疑似統編錯誤,異常,2025-12-04 13:57:08
v000052,92662809,疑似統編錯誤,異常,2025-12-04 14:02:28
v000053,92944076,疑似統編錯誤,異常,2025-12-04 14:07:42
v000054,97970328,疑似統編錯誤,異常,2025-12-04 14:12:58
v000055,98765845,疑似統編錯誤,異常,2025-12-04 14:18:19
v000056,99335324,疑似統編錯誤,異常,
