query_debtor_no,項次,登記機關,案件類別,債務人(買受人、受託人)名稱,抵押權人(出賣人、信託人)名稱,登記編號,案件狀態,各動產擔保機關聯絡電話,page,result
57108207,1,交通部公路局,附條件買賣,南亞工業股份有限公司,台灣賓士資融股份有限公司,60-111-424-1(27904),效期內,,,
22099131,,,,,,,,,page1,查無資料
47217677,,,,,,,,,page1,查無資料
00000206,,,,,,,,,page1,查無資料
00000238,,,,,,,,,page1,查無資料
00000547,,,,,,,,,page1,查無資料
00000589,,,,,,,,,page1,查無資料
00000722,,,,,,,,,page1,查無資料
00000954,,,,,,,,,page1,查無資料
00001102,,,,,,,,,page1,查無資料
00001118,,,,,,,,,page1,查無資料
00001709,,,,,,,,,page1,查無資料
00002171,,,,,,,,,page1,查無資料
00002221,,,,,,,,,page1,查無資料
00002263,1,交通部公路局,動產抵押,聚易環保股份有限公司,合迪股份有限公司,60-114-424-1(02133),效期內,,,
00002361,,,,,,,,,page1,查無資料
00002480,,,,,,,,,page1,查無資料
00002507,,,,,,,,,page1,查無資料
00002849,,,,,,,,,page1,查無資料
00002860,,,,,,,,,page1,查無資料
00003251,,,,,,,,,page1,查無資料
00003283,,,,,,,,,page1,查無資料
00003312,,,,,,,,,page1,查無資料
00003426,,,,,,,,,page1,查無資料
00003474,,,,,,,,,page1,查無資料
00003495,,,,,,,,,page1,查無資料
00003740,,,,,,,,,page1,查無資料
00003787,,,,,,,,,page1,查無資料
00004017,,,,,,,,,page1,查無資料
00004092,,,,,,,,,page1,查無資料
00004131,,,,,,,,,page1,查無資料
00004591,,,,,,,,,page1,查無資料
00004620,,,,,,,,,page1,查無資料
00004924,,,,,,,,,page1,查無資料
00004966,,,,,,,,,page1,查無資料
00005424,1,交通部公路局,動產抵押,馥川建設有限公司,和潤企業股份有限公司,64-114-424-1(20926),效期內,,,
00005424,2,交通部公路局,動產抵押,馥川建設有限公司,和潤企業股份有限公司,64-113-424-1(24237),效期內,,,
00005521,,,,,,,,,page1,查無資料
00005698,1,經濟部產業發展署,動產抵押,名里工程有限公司,和潤企業股份有限公司,經授(產)動字第140718號,效期內,,,
