seq_no,total_count,company_no,status,message
1,3,57108207,success,
2,3,22099131,no_data,
3,3,47217677,no_data,
4,103,00000206,no_data,
5,103,00000238,no_data,
6,103,00000547,no_data,
7,103,00000589,no_data,
8,103,00000722,no_data,
9,103,00000954,no_data,
10,103,00001102,no_data
11,103,00001118,no_data,
12,103,00001709,no_data,
13,103,00002171,no_data,
14,103,00002221,no_data,
15,103,00002263,success,
16,103,00002361,no_data,
17,103,00002480,no_data,
18,103,00002507,no_data,
19,103,00002849,no_data,
20,103,00002860,no_data,
21,103,00003251,no_data,
22,103,00003283,no_data,
23,103,00003312,no_data,
24,103,00003426,no_data,
25,103,00003474,no_data,
26,103,00003495,no_data,
27,103,00003740,no_data,
28,103,00003787,no_data,
29,103,00004017,no_data,
30,103,00004092,no_data,
31,103,00004131,no_data,
32,103,00004591,no_data,
33,103,00004620,no_data,
34,103,00004924,no_data,
35,103,00004966,no_data,
36,103,00005424,success,
37,103,00005521,no_data,
38,103,00005698,success,
39,103,00005753,no_data,
40,103,00006090,success,
41,103,00006514,no_data,
42,103,00006649,no_data,
43,103,00006916,no_data,
44,103,00007302,no_data,
45,103,00007577,no_data,
46,103,00008148,no_data,
47,103,00008273,no_data,
48,103,00008512,no_data,
49,103,00008549,no_data,
50,103,00008597,no_data,
51,103,00008626,no_data,
52,103,00008858,no_data,
53,103,00009097,no_data,
54,103,00009104,no_data,
55,103,00009239,success,
56,103,00009245,no_data,
57,103,00009272,no_data,
58,103,00009391,no_data,
59,103,00009651,no_data,
60,103,00009694,no_data,
61,103,00009982,no_data,
62,103,00010171,success,
63,103,00010279,no_data,
64,103,00010382,no_data,
65,103,00010502,no_data,
66,103,00010720,success,
67,103,00010812,no_data,
68,103,00010952,no_data,
69,103,00011122,no_data,
70,103,00011208,no_data,
71,103,00011241,success,
72,103,00011495,no_data,
73,103,00011571,no_data,
74,103,00011586,no_data,
75,103,00011755,no_data,
76,103,00011880,no_data,
77,103,00012104,no_data,
78,103,00012142,no_data,
79,103,00012277,no_data,
80,103,00012683,no_data,
81,103,00012950,no_data,
82,103,00013199,no_data,
83,103,00013466,no_data,
84,103,00013959,no_data,
85,103,00014057,no_data,
86,103,00014319,no_data,
87,103,00014726,no_data,
88,103,00014922,success,
89,103,00014958,no_data,
90,103,00015020,no_data,
91,103,00015295,no_data,
92,103,00015350,no_data,
93,103,00015464,no_data,
94,103,00015577,no_data,
95,103,00015627,no_data,
96,103,00015990,no_data,
97,103,00016013,no_data,
98,103,00016983,success,
99,103,00017836,no_data,
100,103,00017940,no_data,
101,103,00018027,no_data,
102,103,00018238,no_data,
103,103,00018259,no_data,
