"年月","報表種類","登記機關","案件類別","擔保債權額","擔保債權金額幣別","訂立契約日期","終止日期"
"202012","設立","臺北市政府產業發展局","動產抵押","15330000.0000","NTD","2020-08-21 00:00:00.0","2030-08-20 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","15600000.0000","NTD","2020-11-13 00:00:00.0","2030-10-31 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","2400000.0000","NTD","2020-11-13 00:00:00.0","2030-10-31 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","1134000.0000","NTD","2020-11-27 00:00:00.0","2030-11-26 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","1234800.0000","NTD","2020-12-01 00:00:00.0","2030-11-30 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","21622225.0000","NTD","2020-12-03 00:00:00.0","2030-12-03 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","1438200.0000","NTD","2020-12-04 00:00:00.0","2030-12-04 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","2011680.0000","NTD","2020-12-16 00:00:00.0","2030-12-16 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","4800000.0000","NTD","2020-12-24 00:00:00.0","2030-12-23 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","18000000.0000","NTD","2020-11-18 00:00:00.0","2033-05-19 00:00:00.0"
"202012","設立","臺北市政府產業發展局","動產抵押","4760000.0000","NTD","2020-12-10 00:00:00.0","2040-12-09 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","14769000.0000","NTD","2020-11-26 00:00:00.0","2024-06-02 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","12862987.0000","NTD","2020-11-25 00:00:00.0","2025-05-25 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","4380000.0000","NTD","2020-12-04 00:00:00.0","2026-05-30 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","8700000.0000","NTD","2020-12-04 00:00:00.0","2026-05-30 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","12398400.0000","NTD","2020-12-05 00:00:00.0","2030-12-04 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","920000.0000","NTD","2020-12-09 00:00:00.0","2030-12-08 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","2220000.0000","NTD","2020-12-11 00:00:00.0","2030-12-10 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","2000000.0000","NTD","2020-12-11 00:00:00.0","2030-12-10 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","6240000.0000","NTD","2020-12-17 00:00:00.0","2030-12-17 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","10566000.0000","NTD","2020-12-23 00:00:00.0","2030-12-23 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","8150625.0000","NTD","2020-11-30 00:00:00.0","2035-11-30 00:00:00.0"
"202012","設立","臺北市政府產業發展局","附條件買賣","11760000.0000","NTD","2020-12-16 00:00:00.0","2040-12-16 00:00:00.0"
