115/03/04 00:10拒絕往來廠商資料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
廠商代碼,標案案號,廠商名稱,廠商地址,廠商國別,刊登機關代碼,刊登機關名稱,機關地址,聯絡人,聯絡電話,廠商負責人,廠商負責人身分證字號,標案名稱,符合政府採購法第101條所列之情形,原始公告日期,公告日期,拒絕往來生效日,政府採購法第103條第一項所規定之期間,拒絕往來截止日,異議或申訴結果,判決書字號,適用法條,法條所定期間,罪名及其他必要揭露資訊,備註
59422006,4801300114,綠化電節能工程有限公司,高雄市苓雅區永平路12巷19號1樓,中華民國(Republic of China (Taiwan)),3.13.31.94,台灣電力股份有限公司台中供電區營運處,臺中市霧峰區民生路193號,吳佩蓉,(04)23335627#409,周雯婷,,114年度本處彰南區各轄所、線務段等辦公場所清潔勞務工作,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,115年1⽉23⽇本處通知廠商該異議係無理由，如對異議結果不服，得於收受異議結果之次⽇起15⽇內向⾏政院公共⼯程委員會申訴，該廠商未提申訴。,,,,,一般
94719693,4801300113,幸安企業社,高雄市苓雅區苓東⾥永平路１２巷１９號１樓,中華民國(Republic of China (Taiwan)),3.13.31.94,台灣電力股份有限公司台中供電區營運處,臺中市霧峰區民生路193號,吳佩蓉,(04)23335627#409,李婞榕,E2242*****,114年度本處台中區各轄所及台中通信區等辦公場所清潔勞務工作,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,115年1月23日本處通知廠商該異議係無理由，如對異議結果不服，得於收受異議結果之次日起15日內向行政院公共工程委員會申訴，該廠商未提申訴。,,,,,一般
82867276,4801300113,俞安管理顧問有限公司,高雄市苓雅區永平路12巷19號1樓,中華民國(Republic of China (Taiwan)),3.13.31.94,台灣電力股份有限公司台中供電區營運處,臺中市霧峰區民生路193號,吳佩蓉,(04)23335627#409,周雯婷,,114年度本處台中區各轄所及台中通信區等辦公場所清潔勞務工作,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,115年1⽉23⽇本處通知廠商該異議係無理由，如對異議結果不服，得於收受異議結果之次⽇起15⽇內向⾏政院公共⼯程委員會申訴，該廠商未提申訴。,,,,,一般
A2279*****,114044,林瑋寧,新北市淡水區新民街120巷45弄24號5樓,中華民國(Republic of China (Taiwan)),3.13.52.1,台灣自來水股份有限公司第一區管理處,基隆市暖暖區水源路38-1號,業務課,(02)24582233#404,林瑋寧,,114年度淡水所委外抄表承攬（第1.2.4.5.6.8.9工作區）,1 容許他人借用本人名義或證件參加投標者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,,,,,,一般
34780429,114044,宜聖企業社,新北市淡水區水源街一段37號,中華民國(Republic of China (Taiwan)),3.13.52.1,台灣自來水股份有限公司第一區管理處,基隆市暖暖區水源路38-1號,業務課,(02)24582233#404,胡文德,F1232*****,114年度淡水所委外抄表承攬（第1.2.4.5.6.8.9工作區）,2 借用或冒用他人名義或證件投標者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,,,,,,一般
17285254,114044,業豐企業商行,新北市淡水區水源街一段37號,中華民國(Republic of China (Taiwan)),3.13.52.1,台灣自來水股份有限公司第一區管理處,基隆市暖暖區水源路38-1號,業務課,(02)24582233#404,林聖傑,A1229*****,114年度淡水所委外抄表承攬（第1.2.4.5.6.8.9工作區）,2 借用或冒用他人名義或證件投標者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,,,,,,一般
25191006,1140066,陽光魚整合行銷有限公司,新竹縣竹北市興隆路一段631號3樓之3,中華民國(Republic of China (Taiwan)),3.76.58,新竹市政府,新竹市北區中正路120號,徐培雯,(03)5216121#478,鄞偉民,,2025青草湖國際圖像IP裝置展出委託專業服務案,12 因可歸責於廠商之事由，致解除或終止契約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3個月,115/06/03 23:59,無異議。,,,,,一般
18045649,ETP11515,花蓮瓦斯廚具行,花蓮縣吉安鄉中山路三段81號,中華民國(Republic of China (Taiwan)),A.21.100.4,衛生福利部東區老人之家,花蓮縣花蓮市民權路125號,黃淑貞,(03)8509228#137,蔡瑞卿,X1202*****,115-116年瓦斯燃料供應,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,,,,,,一般
83065372,3401100279,捷胤工程有限公司,高雄市小港區鳳鳴路23號,中華民國(Republic of China (Taiwan)),3.13.31.48,台灣電力股份有限公司大林發電廠,高雄市小港區大林路3號,郭俊宏,(07)8711151#3070,許寧玲,,#1~#2機煤灰處理課底灰暨海水脫硫系統長期維修工作,4 以虛偽不實之文件投標、訂約或履約，情節重大者,115/03/03 00:00,115/03/03 00:00,115/03/04 00:00,3年,118/03/03 23:59,無異議及申訴。,,,,,一般
