115/03/10  優良廠商資料,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
廠商代碼,廠商名稱,廠商地址,刊登機關代碼,刊登機關名稱,機關地址,聯絡人,聯絡人電話,聯絡人電子郵件信箱,評優良廠商依據之規定,獎勵起始日期,獎勵終止日期,通知主管機關文號,備註
60575401,聖大營造股份有限公司,南投縣草屯鎮中興路386號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」 特優工程，公告日起獎勵2年。
22270392,協誠營造股份有限公司,臺中市西屯區文心路三段241號5F之6,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
22220892,劦盛工程顧問有限公司,臺中市北區忠明路424號6F之2,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
28044036,見安營造股份有限公司,臺中市北區五權路375號9樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
17709062,吳嘉栩建築師事務所,臺中市北區五權路190號10樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
84869497,松青營造有限公司,新北市板橋區新海路150號2樓之3,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
16266074,傑瀚營造有限公司,桃園市桃園區大興西路二段61號18樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
86699639,九品股份有限公司,新北市中和區中山路2段380巷16號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
53924734,安笙工程顧問有限公司,臺北市中山區復興北路502號5樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
18997007,達欣工程股份有限公司,臺北市大安區敦化南路二段92號9樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
33020007,大陸工程股份有限公司,臺北市大安區敦化南路二段95號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
77535283,台北國際聯合建築師事務所,臺北市松山區復興北路311號10樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
29203927,闕河彬建築師事務所,臺北市內湖區新湖二路50號3樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
21102398,薛昭信建築師事務所,臺北市松山區南京東路四段75號11樓,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
53429397,富士山營造有限公司,新北市汐止區民族二街5巷8號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
54275552,開巨技術顧問有限公司,新北市中和區景平路268號26樓之1,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
24271208,浲州營造工程有限公司,嘉義縣布袋鎮新北路59號,3.60,行政院公共工程委員會,臺北市信義區松仁路3號9樓,楊其融,(02)87897008#7008,1547@mail.pcc.gov.tw,公共工程金質獎頒發作業要點,115/01/01,116/12/31,本會第1140300937號簽,第25屆公共工程金質獎「公共工程品質優良獎」優等工程，公告日起獎勵2年。
