統一編號,公司名稱,電話,進口資格,出口資格
00000201,,,,
00000259,,,,
00000379,,,,
00000413,,,,
00001047,,,,
00001052,,,,
00001270,,,,
00001308,,,,
00001362,,,,
00001449,,,,
00002003,,,,
00002030,今盛環境淨化股份有限公司,0909319513,有 YES,有 YES
00002453,,,,
00002572,,,,
00002670,,,,
00002876,,,,
00002881,,,,
00003024,,,,
00003538,秝驎國際股份有限公司,04-25666891,有 YES,有 YES
00003621,,,,
00003930,,,,
00004234,,,,
00004467,,,,
00004706,,,,
00005120,,,,
00005700,大中福國企業有限公司,02-24223768,有 YES,有 YES
00005780,,,,
00005830,,,,
00005846,,,,
00005965,,,,
00006471,,,,
00006535,泰士科技股份有限公司,,有 YES,有 YES
00006599,,,,
00006824,,,,
00007181,,,,
00007295,,,,
00007422,,,,
00007719,樺盈創投股份有限公司,,有 YES,有 YES
00007915,,,,
00008105,泰全儲能科技股份有限公司,07-3534736,有 YES,有 YES
00008180,,,,
00008251,,,,
00008554,,,,
00008674,,,,
00009028,,,,
00009441,,,,
00009667,,,,
00009913,,,,
00010469,利東開發有限公司,04-22557511,有 YES,有 YES
00010524,,,,
00010897,,,,
00011018,,,,
00011203,,,,
00011328,,,,
00011517,,,,
00012558,群曜數位科技股份有限公司,,有 YES,有 YES
00012706,,,,
00012868,,,,
00013016,,,,
00013135,,,,
00013249,,,,
00013368,,,,
00013607,,,,
00014394,,,,
00014839,,,,
00014887,鉅嘉聯合科技股份有限公司,02-7730-7797,有 YES,有 YES
00015128,,,,
00015160,,,,
00015181,湧達科技股份有限公司,02-2269-6789,有 YES,有 YES
00015197,,,,
00015339,,,,
00015416,,,,
00015485,,,,
00015611,,,,
00016040,,,,
00016484,,,,
00017195,,,,
00017287,,,,
00017343,,,,
00017884,,,,
00017977,,,,
00018146,,,,
00018504,源升實業有限公司,02-28918699,有 YES,有 YES
00018650,旭豐興業有限公司,,有 YES,有 YES
00018722,兀蘭投資有限公司,,有 YES,有 YES
00018960,,,,
00019341,,,,
00019383,,,,
00019530,,,,
00020023,,,,
00020086,,,,
00020136,,,,
00020425,寶盛彩妝股份有限公司,,有 YES,有 YES
00020950,,,,
00020993,,,,
00021043,,,,
00021162,,,,
00021254,,,,
00021304,,,,
00021407,,,,
00021521,華成國際物流股份有限公司,02-25172211,有 YES,有 YES
00021682,,,,
00021698,,,,
00021803,,,,
00021894,,,,
00022021,祥邑貿易有限公司,04-35005183,有 YES,有 YES
00022042,,,,
00022090,,,,
00022248,,,,
00022319,,,,
00022520,,,,
00022893,瑩春漁業股份有限公司,07-8410277,有 YES,有 YES
00023210,,,,
00023274,,,,
00023886,,,,
00023936,,,,
00024132,森宇生醫股份有限公司,03-4333123,有 YES,有 YES
00024203,,,,
00024421,,,,
00024436,有糖國際有限公司,04-22520808,有 YES,有 YES
00024549,,,,
00024581,,,,
00024689,,,,
00025250,,,,
00025343,台灣明治醫藥股份有限公司,,有 YES,有 YES
00025717,,,,
00026167,英捷智能股份有限公司,0227922122,有 YES,有 YES
00026188,,,,
00026835,,,,
00026906,,,,
00026928,,,,
00026954,,,,
00026997,暖暖趣股份有限公司,02-89139876,有 YES,有 YES
00027089,,,,
00027102,,,,
00027784,,,,
00028186,,,,
00028427,,,,
00028539,,,,
00028593,,,,
00028600,,,,
00028860,,,,
00029143,方案三三有限公司,02-29630433,有 YES,有 YES
00029235,,,,
00029299,,,,
00030394,,,,
00030660,,,,
00030726,,,,
00030824,,,,
00030845,,,,
00031209,,,,
00031339,景晶科技股份有限公司,03-5970098,有 YES,有 YES
00031393,,,,
00031491,,,,
00031767,,,,
00031871,,,,
00031921,,,,
00032127,進勇科技股份有限公司,,有 YES,有 YES
00032576,睿創智能有限公司,02-23467000,有 YES,有 YES
00032668,,,,
00032718,兆雅資本股份有限公司,,有 YES,有 YES
00033060,源瑞體育用品有限公司,,有 YES,有 YES
00033287,,,,
00033370,,,,
00033603,,,,
00033809,,,,
00033998,,,,
00034321,,,,
00034510,,,,
00034624,,,,
00035176,太隆實業股份有限公司,24313121,有 YES,有 YES
00035320,,,,
00035412,,,,
00035525,,,,
00035638,,,,
00035659,,,,
00035757,大沃建設有限公司,,有 YES,有 YES
