統一編號,時間週期,公司名稱,公司名稱英文,總進口實績,總出口實績,統計時間年
00000201,,,,0,0,
00000259,,,,0,0,
00000379,,,,0,0,
00000413,,,,0,0,
00001047,,,,0,0,
00001052,,,,0,0,
00001270,,,,0,0,
00001308,,,,0,0,
00001362,,,,0,0,
00001449,,,,0,0,
00002003,,,,0,0,
00002030,114   01-6,今盛環境淨化股份有限公司,"JinSheng Ecotech CO., LTD.",0,0,114
00002030,113   01-12,今盛環境淨化股份有限公司,"JinSheng Ecotech CO., LTD.",0,0,113
00002453,,,,0,0,
00002572,,,,0,0,
00002670,,,,0,0,
00002876,,,,0,0,
00002881,,,,0,0,
00003024,,,,0,0,
00003538,114   01-6,秝驎國際股份有限公司,"CARAZONE International CO.,LTD.",0,0,114
00003538,113   01-12,秝驎國際股份有限公司,"CARAZONE International CO.,LTD.",0,0,113
00003621,,,,0,0,
00003930,,,,0,0,
00004234,,,,0,0,
00004467,,,,0,0,
00004706,,,,0,0,
00005120,,,,0,0,
00005700,114   01-6,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",0,0,114
00005700,113   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",0,0,113
00005700,112   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",0,0,112
00005700,111   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",0,0,111
00005700,110   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",0,0,110
00005780,,,,0,0,
00005830,,,,0,0,
00005846,,,,0,0,
00005965,,,,0,0,
00006471,,,,0,0,
00006535,114   01-06,泰士科技股份有限公司,"TESCORE CO., LTD.",0,0,114
00006599,,,,0,0,
00006824,,,,0,0,
00007181,,,,0,0,
00007295,,,,0,0,
00007422,,,,0,0,
00007719,114   01-6,樺盈創投股份有限公司,"E-Rich Venture capital CO., LTD.",0,0,114
00007719,113   01-12,樺盈創投股份有限公司,"E-Rich Venture capital CO., LTD.",0,0,113
00007915,,,,0,0,
00008105,114   01-06,泰全儲能科技股份有限公司,"TAI CHUAN ENERGY STORAGE TECHNOLOGY CO., LTD.",0,0,114
00008180,,,,0,0,
00008251,,,,0,0,
00008554,,,,0,0,
00008674,,,,0,0,
00009028,,,,0,0,
00009441,,,,0,0,
00009667,,,,0,0,
00009913,,,,0,0,
00010469,114   01-6,利東開發有限公司,"LANDER TRADING DEVELOPMENT CO., LTD.",0,0,114
00010524,,,,0,0,
00010897,,,,0,0,
00011018,,,,0,0,
00011203,,,,0,0,
00011328,,,,0,0,
00011517,,,,0,0,
00012558,114   01-6,群曜數位科技股份有限公司,ChyunYao Digitalization Technology INC.,0,0,114
00012558,113   01-12,群曜數位科技股份有限公司,ChyunYao Digitalization Technology INC.,0,0,113
00012706,,,,0,0,
00012868,,,,0,0,
00013016,,,,0,0,
00013135,,,,0,0,
00013249,,,,0,0,
00013368,,,,0,0,
00013607,,,,0,0,
00014394,,,,0,0,
00014839,,,,0,0,
00014887,114   01-06,鉅嘉聯合科技股份有限公司,"GIGA-IMAGE Technology Co., Ltd.",0,0,114
00014887,113   01-12,鉅嘉聯合科技股份有限公司,"GIGA-IMAGE Technology Co., Ltd.",0,0,113
00015128,,,,0,0,
00015160,,,,0,0,
00015181,114   01-6,湧達科技股份有限公司,"ACCURTECH CO., LTD.",0,0,114
00015181,113   01-12,湧達科技股份有限公司,"ACCURTECH CO., LTD.",0,0,113
00015197,,,,0,0,
00015339,,,,0,0,
00015416,,,,0,0,
00015485,,,,0,0,
00015611,,,,0,0,
00016040,,,,0,0,
00016484,,,,0,0,
00017195,,,,0,0,
00017287,,,,0,0,
00017343,,,,0,0,
00017884,,,,0,0,
00017977,,,,0,0,
00018146,,,,0,0,
00018504,114   01-6,源升實業有限公司,Excellent Company,0,0,114
00018504,113   01-12,源升實業有限公司,Excellent Company,0,0,113
00018650,114   01-06,旭豐興業有限公司,Shiu feng dynasty PTY LTD.,0,0,114
00018650,113   01-12,旭豐興業有限公司,Shiu feng dynasty PTY LTD.,0,0,113
00018722,114   01-6,兀蘭投資有限公司,Woodlands Investment Limited Company,0,0,114
00018722,113   01-12,兀蘭投資有限公司,Woodlands Investment Limited Company,0,0,113
00018960,,,,0,0,
00019341,,,,0,0,
00019383,,,,0,0,
00019530,,,,0,0,
00020023,,,,0,0,
00020086,,,,0,0,
00020136,,,,0,0,
00020425,114   01-06,寶盛彩妝股份有限公司,"Prestige Innovations Group Co., Ltd.",0,0,114
00020425,113   01-12,寶盛彩妝股份有限公司,"Prestige Innovations Group Co., Ltd.",0,0,113
00020950,,,,0,0,
00020993,,,,0,0,
00021043,,,,0,0,
00021162,,,,0,0,
00021254,,,,0,0,
00021304,,,,0,0,
00021407,,,,0,0,
00021521,114   01-6,華成國際物流股份有限公司,"WECAN INTERNATIONAL LOGISTICS CO., LTD.",0,0,114
00021682,,,,0,0,
00021698,,,,0,0,
00021803,,,,0,0,
00021894,,,,0,0,
00022021,114   01-6,祥邑貿易有限公司,"Xiang Yi Trading CO. , LTD.",0,0,114
00022042,,,,0,0,
00022090,,,,0,0,
00022248,,,,0,0,
00022319,,,,0,0,
00022520,,,,0,0,
00022893,114   01-6,瑩春漁業股份有限公司,"YING CHUN FISHERIES CO., LTD.",0,0,114
00022893,113   01-12,瑩春漁業股份有限公司,"YING CHUN FISHERIES CO., LTD.",0,0,113
00023210,,,,0,0,
00023274,,,,0,0,
00023886,,,,0,0,
00023936,,,,0,0,
00024132,114   01-6,森宇生醫股份有限公司,"Senyu Biomedical Co., Ltd.",0,0,114
00024132,113   01-12,森宇生醫股份有限公司,"Senyu Biomedical Co., Ltd.",0,0,113
00024203,,,,0,0,
00024421,,,,0,0,
00024436,114   01-6,有糖國際有限公司,Yau Sugar International Limited,0,0,114
00024436,113   01-12,有糖國際有限公司,Yau Sugar International Limited,0,0,113
00024549,,,,0,0,
00024581,,,,0,0,
00024689,,,,0,0,
00025250,,,,0,0,
00025343,114   01-06,台灣明治醫藥股份有限公司,"Taiwan Meiji Pharma Co., Ltd.",0,0,114
00025343,113   01-12,台灣明治醫藥股份有限公司,"Taiwan Meiji Pharma Co., Ltd.",0,0,113
00025717,,,,0,0,
00026167,114   01-6,英捷智能股份有限公司,Angible Incorporation,0,0,114
00026188,,,,0,0,
00026835,,,,0,0,
00026906,,,,0,0,
00026928,,,,0,0,
00026954,,,,0,0,
00026997,114   01-6,暖暖趣股份有限公司,Wfun Company Limited,0,0,114
00026997,113   01-12,暖暖趣股份有限公司,Wfun Company Limited,0,0,113
