統一編號,時間週期,公司名稱,公司名稱英文,總進口實績,總出口實績,統計時間年,查詢時間
12868358,114   01-06,緯創資通股份有限公司,WISTRON CORPORATION,A (>=10),A (>=10),114,2025-09-25 09:41:22
12868358,113   01-12,緯創資通股份有限公司,WISTRON CORPORATION,A (>=10),A (>=10),113,2025-09-25 09:41:22
12868358,112   01-12,緯創資通股份有限公司,WISTRON CORPORATION,A (>=10),A (>=10),112,2025-09-25 09:41:22
12868358,111   01-12,緯創資通股份有限公司,WISTRON CORPORATION,A (>=10),A (>=10),111,2025-09-25 09:41:22
12868358,110   01-12,緯創資通股份有限公司,WISTRON CORPORATION,A (>=10),A (>=10),110,2025-09-25 09:41:22
00000201,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:22
00000259,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:22
00000379,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:23
00000413,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:23
00001047,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:26
00001052,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:30
00001270,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:31
00001308,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:32
00001362,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:32
00001449,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:32
00002003,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:32
00002030,114   01-6,今盛環境淨化股份有限公司,"JinSheng Ecotech CO., LTD.",M (=0),M (=0),114,2025-09-25 09:41:33
00002030,113   01-12,今盛環境淨化股份有限公司,"JinSheng Ecotech CO., LTD.",M (=0),M (=0),113,2025-09-25 09:41:33
00002453,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:33
00002572,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:34
00002670,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:36
00002876,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:42
00002881,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:42
00003024,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:43
00003538,114   01-6,秝驎國際股份有限公司,"CARAZONE International CO.,LTD.",M (=0),M (=0),114,2025-09-25 09:41:43
00003538,113   01-12,秝驎國際股份有限公司,"CARAZONE International CO.,LTD.",M (=0),M (=0),113,2025-09-25 09:41:43
00003621,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:43
00003930,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:44
00004234,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:44
00004467,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:44
00004706,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:45
00005120,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:47
00005700,114   01-6,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",M (=0),M (=0),114,2025-09-25 09:41:51
00005700,113   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.",M (=0),M (=0),113,2025-09-25 09:41:51
00005700,112   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.","L (>0,<0.5)",M (=0),112,2025-09-25 09:41:51
00005700,111   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.","L (>0,<0.5)",M (=0),111,2025-09-25 09:41:51
00005700,110   01-12,大中福國企業有限公司,"DA CHONG FU NATION CO., LTD.","L (>0,<0.5)",M (=0),110,2025-09-25 09:41:51
00005780,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:52
00005830,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:52
00005846,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:53
00005965,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:53
00006471,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:53
00006535,114   01-06,泰士科技股份有限公司,"TESCORE CO., LTD.",M (=0),"J (>=1,<2)",114,2025-09-25 09:41:54
00006599,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:41:56
00006824,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:00
00007181,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:01
00007295,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:02
00007422,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:02
00007719,114   01-6,樺盈創投股份有限公司,"E-Rich Venture capital CO., LTD.",M (=0),M (=0),114,2025-09-25 09:42:03
00007719,113   01-12,樺盈創投股份有限公司,"E-Rich Venture capital CO., LTD.",M (=0),M (=0),113,2025-09-25 09:42:03
00007915,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:03
00008105,114   01-06,泰全儲能科技股份有限公司,"TAI CHUAN ENERGY STORAGE TECHNOLOGY CO., LTD.","L (>0,<0.5)",M (=0),114,2025-09-25 09:42:04
00008180,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:05
00008251,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:11
00008554,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:12
00008674,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:16
00009028,114   01-6,,,M (=0),M (=0),114,2025-09-25 09:42:21
